Filename Group Natoms Energy_Truth Energy_Pred Testing_Bool
Mo_56_vasp_1.json Ni_JSON 108 -5.300359480277778 -5.32196103454315 False
Mo_57_vasp_1.json Ni_JSON 108 -4.760863971296296 -4.751955875649728 False
Mo_58_vasp_1.json Ni_JSON 108 -5.257432346666667 -5.277394740894145 False
Mo_59_vasp_1.json Ni_JSON 108 -4.779756001203704 -4.762835180883819 False
Mo_60_vasp_1.json Ni_JSON 108 -4.783522421851852 -4.761888011655151 False
Mo_61_vasp_1.json Ni_JSON 108 -5.294148668240741 -5.315469915848437 False
Mo_62_vasp_1.json Ni_JSON 108 -4.774787569259259 -4.75885530556368 False
Mo_63_vasp_1.json Ni_JSON 108 -5.274038909074074 -5.295000632701484 False
Mo_64_vasp_1.json Ni_JSON 108 -5.200546932037037 -5.219694708654162 False
Mo_65_vasp_1.json Ni_JSON 108 -5.200488952037038 -5.22068405085829 False
Mo_66_vasp_1.json Ni_JSON 108 -4.714432463981482 -4.68856742789538 False
Mo_67_vasp_1.json Ni_JSON 108 -4.742592120092593 -4.723954952430783 False
Mo_68_vasp_1.json Ni_JSON 108 -4.750839480925926 -4.731118331363438 False
Mo_69_vasp_1.json Ni_JSON 108 -5.214213969999999 -5.235247215191164 False
Mo_70_vasp_1.json Ni_JSON 108 -5.185957106759259 -5.204220318926708 False
Mo_71_vasp_1.json Ni_JSON 108 -5.202414240648148 -5.222680922393119 False
Mo_72_vasp_1.json Ni_JSON 108 -5.190095916203704 -5.209318580064836 False
Mo_73_vasp_1.json Ni_JSON 108 -5.207847634722222 -5.229009921062708 False
Mo_74_vasp_1.json Ni_JSON 108 -5.286176645648148 -5.307187318186677 False
Mo_75_vasp_1.json Ni_JSON 108 -4.726822884074074 -4.716750053513113 False
Mo_76_vasp_1.json Ni_JSON 108 -5.203158144907407 -5.223617951433887 False
Mo_77_vasp_1.json Ni_JSON 108 -4.770098226759258 -4.762847450028078 False
Mo_78_vasp_1.json Ni_JSON 108 -5.267383835185185 -5.2872698329363566 False
Mo_79_vasp_1.json Ni_JSON 108 -5.286157840555556 -5.306833331774823 False
Mo_80_vasp_1.json Ni_JSON 108 -4.730780000277778 -4.721900724318224 False
Mo_81_vasp_1.json Ni_JSON 108 -5.188379397407408 -5.207843199462004 False
